id,title,description,videoUrl,thumbnailUrl,bodyArea,purpose,durationMinutes,intensity
lower-body-warmup-hip-circle,股関節回し,股関節を円を描くように動かす,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-hip-circle.jpg,lower-body,mobility,0.6,low
lower-body-warmup-hamstring-stretch,ハムストリングスストレッチ,後腿をゆっくり伸ばす,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-hamstring-stretch.jpg,lower-body,mobility,1.7,low
lower-body-warmup-quadriceps-stretch,大腿四頭筋ストレッチ,前ももの筋肉を伸ばす,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-quadriceps-stretch.jpg,lower-body,mobility,1.8,low
lower-body-warmup-ankle-dorsiflexion,足関節背屈ストレッチ,足首を上に引き上げて伸ばす,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-ankle-dorsiflexion.jpg,lower-body,mobility,1.6,low
lower-body-warmup-ankle-circle,足関節まわし,足首を円を描くように動かす,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-ankle-circle.jpg,lower-body,mobility,0.5,low
lower-body-warmup-toe-mobility,足指の運動,足指を動かして足元の感覚を整える,https://www.youtube.com/watch?v=feuswUpPQTU,/thumbnails/lower-body-warmup-toe-mobility.jpg,lower-body,mobility,0.6,low
lower-body-strength-hip-flexion,股関節屈曲,股関節を屈曲させて下半身を動かす,https://www.youtube.com/watch?v=4xO8NIi0gjk,/thumbnails/lower-body-strength-hip-flexion.jpg,lower-body,strength,0.9,medium
lower-body-strength-hip-abduction,股関節外転,股関節を外側へ開いて筋力を高める,https://www.youtube.com/watch?v=4xO8NIi0gjk,/thumbnails/lower-body-strength-hip-abduction.jpg,lower-body,strength,0.6,medium
lower-body-strength-hip-abduction-resisted,股関節外転抵抗あり,抵抗をかけながら股関節外転を行う,https://www.youtube.com/watch?v=4xO8NIi0gjk,/thumbnails/lower-body-strength-hip-abduction-resisted.jpg,lower-body,strength,0.9,medium
lower-body-strength-hip-abduction-side-lying,股関節外転側臥位,横向きに寝て股関節外転を行う,https://www.youtube.com/watch?v=4xO8NIi0gjk,/thumbnails/lower-body-strength-hip-abduction-side-lying.jpg,lower-body,strength,1.1,medium
lower-body-strength-hip-adduction,股関節内転,股関節を内側へ寄せて筋力を高める,https://www.youtube.com/watch?v=4xO8NIi0gjk,/thumbnails/lower-body-strength-hip-adduction.jpg,lower-body,strength,1.2,medium
lower-body-strength-knee-extension,膝関節伸展,膝をしっかり伸ばす筋力トレーニング,https://www.youtube.com/watch?v=4xO8NIi0gjk,/thumbnails/lower-body-strength-knee-extension.jpg,lower-body,strength,1.0,medium
lower-body-strength-ankle-dorsiflexion-seated,足関節底背屈（座って行う）,座位で足首の底背屈を行う,https://www.youtube.com/watch?v=4xO8NIi0gjk,/thumbnails/lower-body-strength-ankle-dorsiflexion-seated.jpg,lower-body,strength,0.6,medium
lower-body-strength-ankle-dorsiflexion-standing,足関節底背屈（立って行う）,立位で足首の底背屈を行う,https://www.youtube.com/watch?v=4xO8NIi0gjk,/thumbnails/lower-body-strength-ankle-dorsiflexion-standing.jpg,lower-body,strength,0.7,medium
lower-body-strength-bridge,ブリッジ,体幹と臀部を安定させる動作,https://www.youtube.com/watch?v=4xO8NIi0gjk,/thumbnails/lower-body-strength-bridge.jpg,lower-body,strength,1.0,medium
lower-body-strength-half-squat,ハーフスクワット,浅く深く踏み込む下半身強化,https://www.youtube.com/watch?v=4xO8NIi0gjk,/thumbnails/lower-body-strength-half-squat.jpg,lower-body,strength,0.7,medium
lower-body-strength-standing-torso-rotation,立位体幹回旋,体幹を回旋させて安定性を高める,https://www.youtube.com/watch?v=4xO8NIi0gjk,/thumbnails/lower-body-strength-standing-torso-rotation.jpg,lower-body,strength,0.6,medium
